Lambda(nm),Couleur œil nu,Couleur Iphone
390,Invisible,Bleu foncé assez faible
400,Violet foncé faible intensité,Violet faible
410,Violet foncé,Violet foncé
420,Violet foncé,Violet foncé
430,Violet foncé,Violet foncé
440,Bleu Foncé,Violet pale
450,Bleu Foncé,bleu foncé
460,bleu foncé,bleu foncé
470,bleu un peu moins foncé,bleu un peu moins foncé
500,Vert bleuté,Vert bleuté
520,Vert pomme,Vert pomme
540,Vert clair,Vert clair
560,Vert morve,Vert morve
580,Orange soleil ,Orange soleil
600,Orange crépuscule,Orange crépuscule
620,Rouge,Rouge
640,Rouge,rouge rosé
660,Rouge moins lumineux,Rose rouge
680,Rouge peu lumineux,Rosé
700,Bordeaux,Rouge foncé
720,Rouge peu visible,Faible bordeaux
740,Bordeaux très peu visible,Très faible bordeaux
760,Rouge presque invisible,Très faible bordeaux
780,Invisible,Invisible
800,Violet,Violet
850,Bleu foncé faible,Bleu foncé faible
900,Bleu foncé,Bleu foncé
950,turquoise faible,turquoise faible
1000,Vert turquoise,Vert turquoise
1050,Vert faible,Vert faible
1100,Vert jaune,Vert jaune
